Tiempo(s)	Voltaje(V)
2.630000000000000115e-01	1.925744171312544495e-01
2.640000000000000124e-01	1.198692886100616306e-01
2.650000000000000133e-01	2.527330854209139943e-01
2.660000000000000142e-01	3.235079892911016941e-01
2.670000000000000151e-01	2.736438524734694511e-01
2.680000000000000160e-01	1.945046417822595686e-01
2.690000000000000169e-01	1.327374529500957578e-01
2.700000000000000178e-01	2.540199018549174070e-01
2.710000000000000187e-01	3.222211728570982814e-01
2.720000000000000195e-01	2.710702196054626256e-01
2.730000000000000204e-01	1.916093048057518899e-01
2.740000000000000213e-01	1.407800556626170874e-01
2.750000000000000222e-01	2.524113813124131411e-01
2.760000000000000231e-01	3.177173153380863369e-01
2.770000000000000240e-01	2.707485154969617724e-01
2.780000000000000249e-01	1.932178253482561558e-01
2.790000000000000258e-01	1.507528830261435360e-01
2.800000000000000266e-01	2.553067182889208198e-01
2.810000000000000275e-01	3.103181208425667137e-01
2.819999999999999729e-01	2.723570360394660383e-01
2.829999999999999738e-01	1.951480499992612749e-01
2.839999999999999747e-01	1.584737816301640123e-01
2.849999999999999756e-01	2.565935347229242325e-01
2.859999999999999765e-01	2.929460989835206419e-01
2.869999999999999774e-01	2.720353319309651852e-01
2.879999999999999782e-01	1.922527130227535963e-01
2.889999999999999791e-01	1.594388939556665719e-01
2.899999999999999800e-01	2.543416059634182602e-01
2.909999999999999809e-01	2.707485154969617724e-01
2.919999999999999818e-01	2.694616990629583597e-01
2.929999999999999827e-01	1.916093048057518899e-01
2.939999999999999836e-01	1.607257103896699846e-01
2.949999999999999845e-01	2.549850141804199666e-01
2.959999999999999853e-01	2.582020552654284984e-01
2.969999999999999862e-01	2.720353319309651852e-01
2.979999999999999871e-01	1.948263458907604218e-01
2.989999999999999880e-01	1.658729761256836355e-01
2.999999999999999889e-01	2.569152388314250857e-01
3.009999999999999898e-01	2.504811566614080220e-01
3.019999999999999907e-01	2.733221483649685979e-01
3.029999999999999916e-01	1.941829376737587154e-01
3.039999999999999925e-01	1.636210473661776632e-01
3.049999999999999933e-01	2.559501265059225261e-01
3.059999999999999942e-01	2.408300334063824266e-01
3.069999999999999951e-01	2.697834031714592129e-01
3.079999999999999960e-01	1.906441924802493304e-01
3.089999999999999969e-01	1.626559350406751037e-01
3.099999999999999978e-01	2.543416059634182602e-01
3.109999999999999987e-01	2.372912882128730416e-01
3.119999999999999996e-01	2.704268113884609193e-01
3.130000000000000004e-01	1.932178253482561558e-01
3.140000000000000013e-01	1.655512720171827823e-01
3.150000000000000022e-01	2.572369429399259388e-01
3.160000000000000031e-01	2.382564005383756012e-01
3.170000000000000040e-01	2.726787401479668915e-01
3.180000000000000049e-01	1.951480499992612749e-01
3.190000000000000058e-01	1.658729761256836355e-01
3.200000000000000067e-01	2.565935347229242325e-01
3.210000000000000075e-01	2.360044717788696289e-01
3.220000000000000084e-01	2.717136278224643320e-01
3.230000000000000093e-01	1.928961212397553027e-01
3.240000000000000102e-01	1.626559350406751037e-01
3.250000000000000111e-01	2.543416059634182602e-01
3.260000000000000120e-01	2.324657265853602439e-01
3.270000000000000129e-01	2.704268113884609193e-01
3.280000000000000138e-01	1.925744171312544495e-01
3.290000000000000147e-01	1.639427514746785164e-01
3.300000000000000155e-01	2.559501265059225261e-01
3.310000000000000164e-01	2.347176553448662162e-01
3.320000000000000173e-01	2.736438524734694511e-01
3.330000000000000182e-01	1.954697541077621281e-01
3.340000000000000191e-01	1.668380884511861950e-01
3.350000000000000200e-01	2.565935347229242325e-01
3.360000000000000209e-01	2.353610635618679225e-01
3.370000000000000218e-01	2.730004442564677447e-01
3.380000000000000226e-01	1.925744171312544495e-01
3.390000000000000235e-01	1.639427514746785164e-01
3.400000000000000244e-01	2.543416059634182602e-01
3.410000000000000253e-01	2.321440224768593907e-01
3.420000000000000262e-01	2.707485154969617724e-01
3.430000000000000271e-01	1.922527130227535963e-01
3.439999999999999725e-01	1.639427514746785164e-01
3.449999999999999734e-01	2.556284223974216729e-01
3.459999999999999742e-01	2.340742471278645098e-01
3.469999999999999751e-01	2.720353319309651852e-01
3.479999999999999760e-01	1.951480499992612749e-01
3.489999999999999769e-01	1.661946802341844887e-01
3.499999999999999778e-01	2.585237593739293516e-01
3.509999999999999787e-01	2.356827676703687757e-01
3.519999999999999796e-01	2.730004442564677447e-01
3.529999999999999805e-01	1.945046417822595686e-01
3.539999999999999813e-01	1.652295679086819291e-01
3.549999999999999822e-01	2.559501265059225261e-01
3.559999999999999831e-01	2.331091348023619503e-01
3.569999999999999840e-01	2.697834031714592129e-01
3.579999999999999849e-01	1.922527130227535963e-01
